time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
0.005000,0.000000,-0.000000,0.000000,0.000000
0.010000,0.000000,0.000000,0.000002,0.000000
0.015000,0.000000,0.000001,0.000005,0.000000
0.020000,0.000000,0.000003,0.000012,0.000000
0.025000,0.000000,0.000004,0.000020,0.000000
0.030000,0.000000,0.000003,0.000024,0.000000
0.035000,0.000000,-0.000001,0.000018,0.000000
0.040000,0.000000,-0.000006,0.000000,0.000000
0.045000,0.000000,-0.000013,-0.000032,0.000000
0.050000,0.000000,-0.000017,-0.000078,0.000000
0.055000,-0.000001,-0.000022,-0.000135,0.000000
0.060000,-0.000001,-0.000026,-0.000204,0.000000
0.065000,-0.000003,-0.000032,-0.000284,0.000000
0.070000,-0.000004,-0.000034,-0.000371,0.000000
0.075000,-0.000006,-0.000035,-0.000458,0.000000
0.080000,-0.000009,-0.000035,-0.000546,0.000000
0.085000,-0.000012,-0.000036,-0.000636,0.000000
0.090000,-0.000015,-0.000037,-0.000731,0.000000
0.095000,-0.000019,-0.000041,-0.000835,0.000000
0.100000,-0.000024,-0.000044,-0.000946,0.000000
0.105000,-0.000029,-0.000048,-0.001067,0.000000
0.110000,-0.000035,-0.000050,-0.001192,0.000000
0.115000,-0.000041,-0.000051,-0.001319,0.000000
0.120000,-0.000048,-0.000051,-0.001445,0.000000
0.125000,-0.000056,-0.000050,-0.001569,0.000000
0.130000,-0.000064,-0.000050,-0.001693,0.000000
0.135000,-0.000073,-0.000049,-0.001816,0.000000
0.140000,-0.000082,-0.000047,-0.001932,0.000000
0.145000,-0.000092,-0.000044,-0.002040,0.000000
0.150000,-0.000103,-0.000041,-0.002136,0.000000
0.155000,-0.000114,-0.000033,-0.002217,0.000000
0.160000,-0.000125,-0.000028,-0.002284,0.000000
0.165000,-0.000136,-0.000021,-0.002335,0.000000
0.170000,-0.000148,-0.000016,-0.002372,0.000000
0.175000,-0.000160,-0.000010,-0.002398,0.000000
0.180000,-0.000172,-0.000007,-0.002415,0.000000
0.185000,-0.000184,-0.000006,-0.002431,0.000000
0.190000,-0.000197,-0.000007,-0.002447,0.000000
0.195000,-0.000209,-0.000006,-0.002461,0.000000
0.200000,-0.000221,-0.000005,-0.002472,0.000000
0.205000,-0.000234,-0.000002,-0.002478,0.000000
0.210000,-0.000246,-0.000001,-0.002479,0.000000
0.215000,-0.000258,0.000001,-0.002476,0.000000
0.220000,-0.000271,0.000002,-0.002472,0.000000
0.225000,-0.000283,0.000002,-0.002467,0.000000
0.230000,-0.000295,0.000002,-0.002463,0.000000
0.235000,-0.000308,0.000000,-0.002463,0.000000
0.240000,-0.000320,-0.000001,-0.002466,0.000000
0.245000,-0.000332,-0.000002,-0.002471,0.000000
0.250000,-0.000345,-0.000003,-0.002479,0.000000
0.255000,-0.000357,-0.000003,-0.002483,0.000000
0.260000,-0.000370,0.000000,-0.002479,0.000000
0.265000,-0.000382,0.000006,-0.002462,0.000000
0.270000,-0.000394,0.000011,-0.002430,0.000000
0.275000,-0.000406,0.000018,-0.002385,0.000000
0.280000,-0.000418,0.000022,-0.002328,0.000000
0.285000,-0.000429,0.000026,-0.002262,0.000000
0.290000,-0.000440,0.000028,-0.002192,0.000000
0.295000,-0.000451,0.000027,-0.002126,0.000000
0.300000,-0.000462,0.000024,-0.002071,0.000000
0.305000,-0.000472,0.000017,-0.002028,0.000000
0.310000,-0.000482,0.000014,-0.001996,0.000000
0.314999,-0.000492,0.000010,-0.001972,0.000000
0.319999,-0.000502,0.000008,-0.001951,0.000000
0.324999,-0.000511,0.000008,-0.001930,0.000000
0.329999,-0.000521,0.000009,-0.001906,0.000000
0.334999,-0.000530,0.000012,-0.001876,0.000000
0.339999,-0.000540,0.000014,-0.001839,0.000000
0.344999,-0.000549,0.000017,-0.001796,0.000000
0.349999,-0.000557,0.000018,-0.001749,0.000000
0.354999,-0.000566,0.000018,-0.001703,0.000000
0.359999,-0.000574,0.000019,-0.001657,0.000000
0.364999,-0.000583,0.000019,-0.001611,0.000000
0.369999,-0.000591,0.000017,-0.001570,0.000000
0.374999,-0.000598,0.000014,-0.001533,0.000000
0.379999,-0.000606,0.000014,-0.001497,0.000000
0.384999,-0.000613,0.000016,-0.001455,0.000000
0.389999,-0.000620,0.000020,-0.001401,0.000000
0.394998,-0.000627,0.000027,-0.001333,0.000000
0.399998,-0.000634,0.000031,-0.001253,0.000000
0.404998,-0.000640,0.000036,-0.001164,0.000000
0.409998,-0.000645,0.000038,-0.001066,0.000000
0.414998,-0.000650,0.000042,-0.000962,0.000000
0.419998,-0.000655,0.000043,-0.000855,0.000000
0.424998,-0.000659,0.000043,-0.000748,0.000000
0.429998,-0.000662,0.000042,-0.000644,0.000000
0.434998,-0.000665,0.000040,-0.000545,0.000000
0.439998,-0.000667,0.000038,-0.000451,0.000000
0.444998,-0.000669,0.000035,-0.000365,0.000000
0.449998,-0.000671,0.000032,-0.000289,0.000000
0.454998,-0.000672,0.000026,-0.000224,0.000000
0.459998,-0.000673,0.000023,-0.000169,0.000000
0.464998,-0.000674,0.000019,-0.000121,0.000000
0.469997,-0.000674,0.000018,-0.000076,0.000000
0.474997,-0.000675,0.000017,-0.000033,0.000000
0.479997,-0.000675,0.000018,0.000012,0.000000
0.484997,-0.000674,0.000019,0.000058,0.000000
0.489997,-0.000674,0.000019,0.000104,0.000000
0.494997,-0.000673,0.000016,0.000144,0.000000
0.499997,-0.000672,0.000014,0.000177,0.000000
0.504997,-0.000672,0.000009,0.000200,0.000000
0.509997,-0.000670,0.000007,0.000218,0.000000
0.514997,-0.000669,0.000006,0.000233,0.000000
0.519997,-0.000668,0.000006,0.000250,0.000000
0.524997,-0.000667,0.000008,0.000273,0.000000
0.529997,-0.000665,0.000012,0.000307,0.000000
0.534997,-0.000664,0.000017,0.000353,0.000000
0.539997,-0.000662,0.000022,0.000413,0.000000
0.544997,-0.000659,0.000030,0.000490,0.000000
0.549996,-0.000657,0.000036,0.000586,0.000000
0.554996,-0.000653,0.000045,0.000700,0.000000
0.559996,-0.000650,0.000051,0.000833,0.000000
0.564996,-0.000645,0.000059,0.000981,0.000000
0.569996,-0.000640,0.000063,0.001141,0.000000
0.574996,-0.000633,0.000066,0.001306,0.000000
0.579996,-0.000626,0.000066,0.001466,0.000000
0.584996,-0.000619,0.000059,0.001612,0.000000
0.589996,-0.000610,0.000053,0.001739,0.000000
0.594996,-0.000601,0.000043,0.001842,0.000000
0.599996,-0.000592,0.000034,0.001917,0.000000
0.604996,-0.000582,0.000019,0.001962,0.000000
0.609996,-0.000572,0.000009,0.001975,0.000000
0.614996,-0.000562,-0.000006,0.001957,0.000000
0.619996,-0.000553,-0.000016,0.001910,0.000000
0.624996,-0.000543,-0.000029,0.001837,0.000000
0.629995,-0.000534,-0.000036,0.001742,0.000000
0.634995,-0.000526,-0.000044,0.001632,0.000000
0.639995,-0.000518,-0.000048,0.001511,0.000000
0.644995,-0.000511,-0.000050,0.001386,0.000000
0.649995,-0.000504,-0.000051,0.001261,0.000000
0.654995,-0.000499,-0.000049,0.001139,0.000000
0.659995,-0.000493,-0.000046,0.001027,0.000000
0.664995,-0.000488,-0.000040,0.000929,0.000000
0.669995,-0.000484,-0.000035,0.000845,0.000000
0.674995,-0.000480,-0.000028,0.000774,0.000000
0.679995,-0.000476,-0.000025,0.000714,0.000000
0.684995,-0.000473,-0.000022,0.000660,0.000000
0.689995,-0.000470,-0.000020,0.000610,0.000000
0.694995,-0.000467,-0.000019,0.000561,0.000000
0.699995,-0.000464,-0.000020,0.000507,0.000000
0.704994,-0.000462,-0.000025,0.000443,0.000000
0.709994,-0.000460,-0.000029,0.000368,0.000000
0.714994,-0.000458,-0.000033,0.000285,0.000000
0.719994,-0.000457,-0.000035,0.000195,0.000000
0.724994,-0.000456,-0.000039,0.000099,0.000000
0.729994,-0.000456,-0.000039,0.000003,0.000000
0.734994,-0.000456,-0.000037,-0.000087,0.000000
0.739994,-0.000457,-0.000033,-0.000164,0.000000
