time, Quad.Pos.Z, Quad.Est.Z, Quad.Vel.Z, Quad.Est.VZ
0.005000,-1.000001,-0.000077,-0.000345,0.000000
0.010000,-1.000004,-0.000173,-0.001000,0.000000
0.015000,-1.000012,-0.000260,-0.001763,0.000000
0.020000,-1.000024,-0.000393,-0.002807,0.000000
0.025000,-1.000042,-0.000536,-0.004143,0.000000
0.030000,-1.000068,-0.000753,-0.005971,0.000000
0.035000,-1.000104,-0.000583,-0.007713,0.000000
0.040000,-1.000145,-0.000364,-0.008631,0.000000
0.045000,-1.000191,-0.000574,-0.009772,0.000000
0.050000,-1.000245,-0.000606,-0.011160,0.000000
0.055000,-1.000304,-0.000325,-0.012143,0.000000
0.060000,-1.000367,-0.000327,-0.012962,0.000000
0.065000,-1.000433,-0.000147,-0.013437,0.000000
0.070000,-1.000501,-0.000014,-0.013617,0.000000
0.075000,-1.000570,-0.000144,-0.013914,0.000000
0.080000,-1.000642,-0.000294,-0.014661,0.000000
0.085000,-1.000719,-0.000565,-0.016009,0.000000
0.090000,-1.000803,-0.000429,-0.017031,0.000000
0.095000,-1.000890,-0.000326,-0.017844,0.000000
0.100000,-1.000982,-0.000318,-0.018602,0.000000
0.105000,-1.001078,-0.000371,-0.019619,0.000000
0.110000,-1.001179,-0.000440,-0.020630,0.000000
0.115000,-1.001284,-0.000267,-0.021281,0.000000
0.120000,-1.001392,-0.000083,-0.021534,0.000000
0.125000,-1.001500,-0.000143,-0.021843,0.000000
0.130000,-1.001611,-0.000311,-0.022581,0.000000
0.135000,-1.001726,-0.000340,-0.023414,0.000000
0.140000,-1.001846,-0.000244,-0.024248,0.000000
0.145000,-1.001970,-0.000269,-0.024980,0.000000
0.150000,-1.002096,-0.000427,-0.025656,0.000000
0.155000,-1.002226,0.000003,-0.025827,0.000000
0.160000,-1.002355,0.000011,-0.025992,0.000000
0.165000,-1.002486,-0.000127,-0.026274,0.000000
0.170000,-1.002618,0.000004,-0.026436,0.000000
0.175000,-1.002750,0.000003,-0.026526,0.000000
0.180000,-1.002883,-0.000094,-0.026718,0.000000
0.185000,-1.003018,-0.000261,-0.027226,0.000000
0.190000,-1.003155,-0.000099,-0.027407,0.000000
0.195000,-1.003290,0.000387,-0.026782,0.000000
0.200000,-1.003424,0.000047,-0.026723,0.000000
